Year,Lg,Tm,City,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1979,NFL,Atlanta Falcons,Atlanta,6,10,0,3rd of 4,,300,388,-88,Bennett,Van Note,Bartkowski,Andrews,Francis,19,17,26,25,20,26,23,28,-5.5,-1.1,-6.6,-1.9,-4.7
1978,NFL,Atlanta Falcons*,Atlanta,9,7,0,2nd of 4,Lost Div,240,290,-50,Bennett,Kuykendall,Bartkowski,Bean,Francis,26,26,14,5,19,24,21,28,-3.1,-1.5,-4.6,-3.7,-0.9
1977,NFL,Atlanta Falcons,Atlanta,7,7,0,2nd of 4,,179,129,50,Bennett,Lawrence,Hunter,Stanback,Jenkins,25,25,1,2,1,9,16,28,3.6,-3.1,0.5,-6.1,6.6
1976,NFL,Atlanta Falcons,Atlanta,4,10,0,3rd of 5,,172,312,-140,"Peppler,Campbell",Jenkins,Bartkowski,Bean,Jenkins,24,27,22,20,18,25,27,28,-10,-0.3,-10.3,-6.7,-3.5
1975,NFL,Atlanta Falcons,Atlanta,4,10,0,3rd of 4,,240,289,-49,Campbell,Hampton,Bartkowski,Hampton,Jenkins,19,20,15,22,19,15,20,26,-3.5,0,-3.5,-2.7,-0.8
1974,NFL,Atlanta Falcons,Atlanta,3,11,0,4th of 4,,111,271,-160,"Van Brocklin,Campbell",Humphrey,Lee,Hampton,Burrow,26,26,16,15,26,26,26,26,-11.4,-0.9,-12.3,-9.7,-2.6
1973,NFL,Atlanta Falcons,Atlanta,9,5,0,2nd of 4,,318,224,94,Van Brocklin,Hampton,Lee,Hampton,Burrow,7,15,9,6,9,8,7,26,6.7,-0.9,5.9,2.3,3.5
1972,NFL,Atlanta Falcons,Atlanta,7,7,0,2nd of 4,,269,274,-5,Van Brocklin,Malone,Berry,Hampton,Malone,16,16,14,7,15,16,13,26,-0.4,-1.6,-1.9,-2.3,0.4
1971,NFL,Atlanta Falcons,Atlanta,7,6,1,3rd of 4,,274,277,-3,Van Brocklin,Berry,Berry,Butler,Burrow,13,15,13,8,11,13,12,26,-0.2,1.5,1.3,0.3,1
1970,NFL,Atlanta Falcons,Atlanta,4,8,2,3rd of 4,,206,261,-55,Van Brocklin,Nobis,Berry,Butler,Mitchell,22,23,10,11,16,19,22,26,-3.9,1.6,-2.3,-3.5,1.2
1969,NFL,Atlanta Falcons,Atlanta,6,8,0,3rd of 4,,276,268,8,Van Brocklin,Brezina,Berry,Butler,Flatley,11,13,6,9,2,8,13,16,0.6,2.3,2.8,0.3,2.5
1968,NFL,Atlanta Falcons,Atlanta,2,12,0,4th of 4,,170,389,-219,"Van Brocklin,Hecker",Lothridge,Berry,Butler,Long,16,16,15,16,13,16,16,16,-15.6,3.7,-12,-6.4,-5.6
1967,NFL,Atlanta Falcons,Atlanta,1,12,1,4th of 4,,175,422,-247,Hecker,Nobis,Johnson,Coffey,McDonald,16,16,16,16,15,16,16,16,-17.6,3.2,-14.5,-7.3,-7.2
1966,NFL,Atlanta Falcons,Atlanta,3,11,0,7th of 8,,204,437,-233,Hecker,Coffey,Johnson,Coffey,Hawkins,15,14,14,15,12,14,15,15,-16.6,1.1,-15.5,-6.5,-9
2018,NFL,Baltimore Ravens*,Baltimore,10,6,0,1st of 4,Lost WC,389,287,102,Harbaugh,Mosley,Flacco,Edwards,Brown,13,9,2,1,22,6,1,32,6.4,0.6,7,0.6,6.4
2017,NFL,Baltimore Ravens,Baltimore,9,7,0,2nd of 4,,395,303,92,Harbaugh,Mosley,Flacco,Collins,Wallace,9,27,6,12,1,8,21,32,5.8,-2.4,3.4,2.2,1.2
2016,NFL,Baltimore Ravens,Baltimore,8,8,0,2nd of 4,,343,321,22,Harbaugh,Orr,Flacco,West,Wallace,21,17,9,7,9,13,8,32,1.4,0.2,1.5,-1.1,2.6
2015,NFL,Baltimore Ravens,Baltimore,5,11,0,3rd of 4,,328,401,-73,Harbaugh,Dumervil,Flacco,Forsett,Aiken,25,14,24,8,30,24,11,32,-4.6,2.6,-1.9,-0.7,-1.2
2014,NFL,Baltimore Ravens*,Baltimore,10,6,0,3rd of 4,Lost Div,409,302,107,Harbaugh,Yanda,Flacco,Forsett,Smith,8,12,6,8,14,6,8,32,6.7,-2.1,4.6,1.8,2.8
2013,NFL,Baltimore Ravens,Baltimore,8,8,0,3rd of 4,,320,352,-32,Harbaugh,Suggs,Flacco,Rice,Smith,25,29,12,12,22,20,23,32,-2,-1.5,-3.5,-5,1.4
2012,NFL,Baltimore Ravens*,Baltimore,10,6,0,1st of 4,Won SB,398,344,54,Harbaugh,Ngata,Flacco,Rice,Boldin,10,16,12,17,8,11,15,32,3.4,-0.5,2.9,1.9,1
2011,NFL,Baltimore Ravens*,Baltimore,12,4,0,1st of 4,Lost Conf,378,266,112,Harbaugh,Ngata,Flacco,Rice,Boldin,12,15,3,3,11,5,5,32,7,-0.9,6.1,2.6,3.5
2010,NFL,Baltimore Ravens*,Baltimore,12,4,0,2nd of 4,Lost Div,357,270,87,Harbaugh,Ngata,Flacco,Rice,Boldin,16,22,3,10,9,6,15,32,5.4,1,6.4,0.9,5.5
2009,NFL,Baltimore Ravens*,Baltimore,9,7,0,2nd of 4,Lost Div,391,261,130,Harbaugh,Rice,Flacco,Rice,Mason,9,13,3,3,4,6,8,32,8.1,-0.7,7.5,2.6,4.9
2008,NFL,Baltimore Ravens*,Baltimore,11,5,0,2nd of 4,Lost Conf,385,244,141,Harbaugh,Lewis,Flacco,McClain,Mason,11,18,3,2,3,1,5,32,8.8,1,9.8,4.2,5.6
2007,NFL,Baltimore Ravens,Baltimore,5,11,0,4th of 4,,275,384,-109,Billick,Reed,Boller,McGahee,Mason,24,22,22,6,32,26,16,32,-6.8,0.1,-6.7,-5,-1.8
2006,NFL,Baltimore Ravens*,Baltimore,13,3,0,1st of 4,Lost Div,353,201,152,Billick,Thomas,McNair,Lewis,Clayton,12,17,1,1,1,3,6,32,9.5,-0.2,9.3,1.5,7.8
2005,NFL,Baltimore Ravens,Baltimore,6,10,0,3rd of 4,,265,299,-34,Billick,Thomas,Boller,Lewis,Mason,25,24,10,5,28,18,17,32,-2.1,0.3,-1.8,-3.5,1.7
2004,NFL,Baltimore Ravens,Baltimore,9,7,0,2nd of 4,,317,268,49,Billick,Lewis,Boller,Lewis,Taylor,20,31,6,6,5,9,23,32,3.1,3.1,6.1,-0.6,6.8
2003,NFL,Baltimore Ravens*,Baltimore,10,6,0,1st of 4,Lost WC,391,281,110,Billick,Lewis,Boller,Lewis,Heap,8,21,6,3,9,6,10,32,6.9,-0.6,6.3,3.3,3
2002,NFL,Baltimore Ravens,Baltimore,7,9,0,3rd of 4,,316,354,-38,Billick,Lewis,Blake,Lewis,Taylor,23,26,19,22,17,22,27,32,-2.4,0.3,-2.1,-1.5,-0.6
2001,NFL,Baltimore Ravens*,Baltimore,10,6,0,2nd of 6,Lost Div,303,265,38,Billick,Lewis,Grbac,Allen,Ismail,18,14,4,2,23,11,4,31,2.4,0.8,3.2,-0.8,4
2000,NFL,Baltimore Ravens*,Baltimore,12,4,0,2nd of 6,Won SB,333,165,168,Billick,Lewis,Banks,Lewis,Sharpe,14,16,1,2,1,2,4,31,10.5,-2.5,8,0,8
1999,NFL,Baltimore Ravens,Baltimore,8,8,0,3rd of 6,,324,277,47,Billick,Lewis,Banks,Rhett,Ismail,14,24,6,2,14,11,5,31,2.9,-2,0.9,-1.6,2.5
1998,NFL,Baltimore Ravens,Baltimore,6,10,0,4th of 5,,269,335,-66,Marchibroda,Lewis,Harbaugh,Holmes,Lewis,26,26,16,22,23,20,25,30,-4.1,-1.3,-5.4,-5.2,-0.2
1997,NFL,Baltimore Ravens,Baltimore,6,9,1,5th of 5,,326,345,-19,Marchibroda,Ogden,Testaverde,Morris,Alexander,16,9,18,25,23,18,15,30,-1.2,0.6,-0.6,-0.4,-0.2
1996,NFL,Baltimore Ravens,Baltimore,4,12,0,5th of 5,,371,441,-70,Marchibroda,Testaverde,Testaverde,Morris,Jackson,6,3,28,30,27,24,16,30,-4.4,1.4,-2.9,3.9,-6.8
2018,NFL,Buffalo Bills,Buffalo,6,10,0,3rd of 4,,269,374,-105,McDermott,Williams,Allen,Allen,Jones,30,30,18,2,23,28,18,32,-6.6,-0.3,-6.9,-6.3,-0.6
2017,NFL,Buffalo Bills*,Buffalo,9,7,0,2nd of 4,Lost WC,302,359,-57,McDermott,Taylor,Taylor,McCoy,Clay,22,29,18,26,7,21,29,32,-3.6,-0.5,-4,-3,-1
2016,NFL,Buffalo Bills,Buffalo,7,9,0,3rd of 4,,399,378,21,"Ryan,Lynn",Taylor,Taylor,McCoy,Woods,10,16,16,19,7,14,20,32,1.3,-1.6,-0.3,1.8,-2.2
2015,NFL,Buffalo Bills,Buffalo,8,8,0,3rd of 4,,379,359,20,Ryan,Taylor,Taylor,McCoy,Watkins,12,13,15,19,8,13,14,32,1.3,-1.2,0,0.3,-0.2
2014,NFL,Buffalo Bills,Buffalo,9,7,0,2nd of 4,,343,289,54,Marrone,Williams,Orton,Jackson,Watkins,18,26,4,4,6,12,14,32,3.4,1.6,4.9,-0.4,5.3
2013,NFL,Buffalo Bills,Buffalo,6,10,0,4th of 4,,339,388,-49,Marrone,Williams,Manuel,Spiller,Chandler,22,19,20,10,12,22,16,32,-3.1,-0.1,-3.2,-1.3,-1.9
2012,NFL,Buffalo Bills,Buffalo,6,10,0,4th of 4,,344,435,-91,Gailey,Spiller,Fitzpatrick,Spiller,Johnson,21,19,26,22,27,25,22,32,-5.7,-1,-6.7,-0.9,-5.8
2011,NFL,Buffalo Bills,Buffalo,6,10,0,4th of 4,,372,434,-62,Gailey,Fitzpatrick,Fitzpatrick,Jackson,Johnson,14,14,30,26,13,22,19,32,-3.9,0.5,-3.4,1.2,-4.5
2010,NFL,Buffalo Bills,Buffalo,4,12,0,4th of 4,,283,425,-142,Gailey,Williams,Fitzpatrick,Jackson,Johnson,28,25,28,24,32,30,27,32,-8.9,4.3,-4.6,-1.5,-3.1
2009,NFL,Buffalo Bills,Buffalo,6,10,0,4th of 4,,258,326,-68,"Jauron,Fewell",Jackson,Fitzpatrick,Jackson,Owens,28,30,16,19,11,23,26,32,-4.3,2.4,-1.8,-4.5,2.7
2008,NFL,Buffalo Bills,Buffalo,7,9,0,4th of 4,,336,342,-6,Jauron,Peters,Edwards,Lynch,Evans,23,25,14,14,27,20,24,32,-0.4,-3,-3.3,-2.8,-0.6
2007,NFL,Buffalo Bills,Buffalo,7,9,0,2nd of 4,,252,354,-102,Jauron,Schobel,Edwards,Lynch,Evans,30,30,18,31,6,25,31,32,-6.4,2.3,-4.1,-5.6,1.5
2006,NFL,Buffalo Bills,Buffalo,7,9,0,3rd of 4,,300,311,-11,Jauron,Schobel,Losman,McGahee,Evans,23,30,10,18,23,17,30,32,-0.7,2.9,2.2,-0.2,2.4
2005,NFL,Buffalo Bills,Buffalo,5,11,0,3rd of 4,,271,367,-96,Mularkey,McGee,Holcomb,McGahee,Moulds,24,28,24,29,13,27,30,32,-6,0.2,-5.8,-4,-1.8
2004,NFL,Buffalo Bills,Buffalo,9,7,0,3rd of 4,,395,284,111,Mularkey,Spikes,Bledsoe,McGahee,Moulds,7,25,8,2,7,6,10,32,6.9,1.1,8.1,4.6,3.5
2003,NFL,Buffalo Bills,Buffalo,6,10,0,3rd of 4,,243,279,-36,Williams,Spikes,Bledsoe,Henry,Moulds,30,30,5,2,31,20,17,32,-2.3,1.3,-1,-5,4
2002,NFL,Buffalo Bills,Buffalo,8,8,0,4th of 4,,379,397,-18,Williams,Bledsoe,Bledsoe,Henry,Moulds,11,11,27,15,28,20,13,32,-1.1,0.9,-0.3,2.1,-2.3
2001,NFL,Buffalo Bills,Buffalo,3,13,0,5th of 5,,265,420,-155,Williams,Brown,Van Pelt,Henry,Moulds,27,13,29,21,29,30,17,31,-9.7,0.2,-9.5,-3.9,-5.7
2000,NFL,Buffalo Bills,Buffalo,8,8,0,4th of 5,,315,350,-35,Phillips,Cowart,Johnson,Bryson,Moulds,20,9,18,3,10,22,3,31,-2.2,2.2,0,0.5,-0.5
1999,NFL,Buffalo Bills*,Buffalo,11,5,0,2nd of 5,Lost WC,320,229,91,Phillips,Flutie,Flutie,Linton,Moulds,16,11,2,1,23,3,2,31,5.7,1.5,7.1,-0.2,7.4
1998,NFL,Buffalo Bills*,Buffalo,10,6,0,3rd of 5,Lost WC,400,333,67,Phillips,Moulds,Flutie,Smith,Moulds,7,6,15,6,3,8,6,30,4.2,1,5.2,4.4,0.7
1997,NFL,Buffalo Bills,Buffalo,6,10,0,4th of 5,,255,367,-112,Levy,Smith,Collins,Smith,Reed,29,25,23,9,28,28,16,30,-7,2.5,-4.5,-4,-0.5
1996,NFL,Buffalo Bills*,Buffalo,10,6,0,2nd of 5,Lost WC,319,266,53,Levy,Smith,Kelly,Thomas,Reed,15,16,6,9,25,7,9,30,3.3,-0.4,2.9,-1,3.9
1995,NFL,Buffalo Bills*,Buffalo,10,6,0,1st of 5,Lost Div,350,335,15,Levy,Smith,Kelly,Thomas,Brooks,13,20,12,13,11,13,16,30,0.9,-1.8,-0.9,-0.5,-0.4
1994,NFL,Buffalo Bills,Buffalo,7,9,0,4th of 5,,340,356,-16,Levy,Reed,Kelly,Thomas,Reed,11,10,22,17,24,14,12,28,-1,0.8,-0.2,1.5,-1.8
1993,NFL,Buffalo Bills*,Buffalo,12,4,0,1st of 5,Lost SB,329,242,87,Levy,Smith,Kelly,Thomas,Reed,7,6,5,27,2,5,20,28,5.4,-0.6,4.8,1.8,3
1992,NFL,Buffalo Bills*,Buffalo,11,5,0,2nd of 5,Lost SB,381,283,98,Levy,Thomas,Kelly,Thomas,Reed,3,2,14,12,18,6,4,28,6.1,-1.9,4.3,4.7,-0.4
1991,NFL,Buffalo Bills*,Buffalo,13,3,0,1st of 5,Lost SB,458,318,140,Levy,Thomas,Kelly,Thomas,Reed,2,1,19,27,9,3,5,28,8.8,-5.2,3.6,7.6,-4.1
1990,NFL,Buffalo Bills*,Buffalo,13,3,0,1st of 5,Lost SB,428,263,165,Levy,Thomas,Kelly,Thomas,Reed,1,6,6,8,4,1,5,28,10.3,-1.7,8.6,5.7,2.9
1989,NFL,Buffalo Bills*,Buffalo,9,7,0,1st of 5,Lost Div,409,317,92,Levy,Thomas,Kelly,Thomas,Reed,3,5,14,11,20,5,5,28,5.8,-1.4,4.3,3.8,0.5
1988,NFL,Buffalo Bills*,Buffalo,12,4,0,1st of 5,Lost Conf,329,237,92,Levy,Bennett,Kelly,Thomas,Reed,14,12,3,4,16,5,6,28,5.8,0.6,6.4,0,6.4
1987,NFL,Buffalo Bills,Buffalo,7,8,0,4th of 5,,270,305,-35,Levy,Smith,Kelly,Harmon,Burkett,24,16,12,12,24,19,16,28,-2.3,2.1,-0.2,-2.6,2.4
1986,NFL,Buffalo Bills,Buffalo,4,12,0,4th of 5,,287,348,-61,"Levy,Bullough",Kelly,Kelly,Riddick,Burkett,20,19,20,24,28,23,22,28,-3.8,-2,-5.8,-5,-0.8
1985,NFL,Buffalo Bills,Buffalo,2,14,0,5th of 5,,200,381,-181,"Bullough,Stephenson",Frazier,Ferragamo,Bell,Butler,28,25,20,17,28,28,24,28,-11.3,1.5,-9.8,-9.5,-0.2
1984,NFL,Buffalo Bills,Buffalo,2,14,0,5th of 5,,250,454,-204,Stephenson,Bell,Ferguson,Bell,Franklin,25,27,27,23,20,27,26,28,-12.8,0.7,-12,-5.3,-6.7
1983,NFL,Buffalo Bills,Buffalo,8,8,0,3rd of 5,,283,351,-68,Stephenson,Smerlas,Ferguson,Cribbs,Cribbs,23,25,18,24,21,22,28,28,-4.3,0.5,-3.8,-3.4,-0.4
1982,NFL,Buffalo Bills,Buffalo,4,5,0,4th of 5,,150,154,-4,Knox,Smerlas,Ferguson,Cribbs,Lewis,19,11,6,2,23,13,2,28,-0.4,1.9,1.5,-1.9,3.4
1981,NFL,Buffalo Bills*,Buffalo,10,6,0,3rd of 5,Lost Div,311,276,35,Knox,Cribbs,Ferguson,Cribbs,Lewis,20,8,6,7,16,14,4,28,2.2,-0.9,1.3,-2.5,3.9
1980,NFL,Buffalo Bills*,Buffalo,11,5,0,1st of 5,Lost Div,320,260,60,Knox,Cribbs,Ferguson,Cribbs,Butler,12,18,3,1,11,8,6,28,3.8,0.2,3.9,-1.6,5.5
1979,NFL,Buffalo Bills,Buffalo,7,9,0,4th of 5,,268,279,-11,Knox,Robertson,Ferguson,Brown,Lewis,23,21,8,14,7,17,16,28,-0.7,0.4,-0.2,-3.3,3.1
1978,NFL,Buffalo Bills,Buffalo,5,11,0,4th of 5,,302,354,-52,Knox,Miller,Ferguson,Miller,Lewis,11,20,24,24,19,25,23,28,-3.3,0,-3.3,-0.1,-3.2
1977,NFL,Buffalo Bills,Buffalo,3,11,0,4th of 5,,160,313,-153,Ringo,DeLamielleure,Ferguson,Simpson,Chandler,26,8,25,23,25,28,17,28,-10.9,3,-7.9,-4.3,-3.7
1976,NFL,Buffalo Bills,Buffalo,2,12,0,5th of 5,,245,363,-118,"Saban,Ringo",Simpson,Ferguson,Simpson,Chandler,20,12,24,23,16,23,16,28,-8.4,-0.8,-9.2,-2.5,-6.7
1975,NFL,Buffalo Bills,Buffalo,8,6,0,3rd of 5,,420,355,65,Saban,Simpson,Ferguson,Simpson,Chandler,1,1,21,24,4,11,9,26,4.6,2.4,7.1,10.4,-3.4
1974,NFL,Buffalo Bills*,Buffalo,9,5,0,2nd of 5,Lost Div,264,244,20,Saban,Simpson,Ferguson,Simpson,Hill,12,23,12,5,11,12,10,26,1.4,-0.4,1,-0.3,1.4
1973,NFL,Buffalo Bills,Buffalo,9,5,0,2nd of 5,,259,230,29,Saban,Simpson,Ferguson,Simpson,Chandler,15,10,10,14,8,12,10,26,2.1,-1.7,0.4,-1.8,2.1
1972,NFL,Buffalo Bills,Buffalo,4,9,1,4th of 5,,257,377,-120,Saban,Simpson,Shaw,Simpson,Hill,19,18,24,17,19,22,21,26,-8.6,1.4,-7.2,-1.6,-5.6
1971,NFL,Buffalo Bills,Buffalo,1,13,0,5th of 5,,184,394,-210,Johnson,Simpson,Shaw,Simpson,Briscoe,26,25,26,25,26,26,26,26,-15,1.6,-13.4,-4.5,-8.9
1970,NFL,Buffalo Bills,Buffalo,3,10,1,4th of 5,,204,337,-133,Rauch,Richardson,Shaw,Simpson,Briscoe,23,17,23,8,26,23,12,26,-9.5,-2.8,-12.3,-5.8,-6.5
1969,AFL,Buffalo Bills,Buffalo,4,10,0,3rd of 5,,230,359,-129,Rauch,Byrd,Kemp,Simpson,Moses,10,8,9,7,10,10,6,10,-9.2,0.9,-8.3,-4,-4.4
1968,AFL,Buffalo Bills,Buffalo,1,12,1,5th of 5,,199,367,-168,"Johnson,Collier",Byrd,Darragh,Anderson,Moses,10,10,8,5,6,9,10,10,-12,1.2,-10.8,-7.9,-2.9
1967,AFL,Buffalo Bills,Buffalo,4,10,0,3rd of 5,,237,285,-48,Collier,McDole,Kemp,Lincoln,Costa,8,7,4,2,7,6,5,9,-3.4,-0.2,-3.7,-6.2,2.5
1966,AFL,Buffalo Bills*,Buffalo,9,4,1,1st of 5,Lost Conf,358,255,103,Collier,Byrd,Kemp,Burnett,Dubenion,2,3,1,3,5,2,3,9,7.4,-0.2,7.1,2.5,4.6
1965,AFL,Buffalo Bills*,Buffalo,10,3,1,1st of 4,Won Champ,313,226,87,Saban,Stratton,Kemp,Carlton,Roberson,3,7,1,6,1,2,7,8,6.2,-0.8,5.4,0.1,5.3
1964,AFL,Buffalo Bills*,Buffalo,12,2,0,1st of 4,Won Champ,400,242,158,Saban,Sestak,Kemp,Gilchrist,Dubenion,1,1,1,1,7,1,1,8,11.3,-1.4,9.9,4.6,5.3
1963,AFL,Buffalo Bills*,Buffalo,7,6,1,1st of 4,Lost Div,304,291,13,Saban,Sestak,Kemp,Gilchrist,Dubenion,5,2,5,3,5,5,2,8,0.9,-0.1,0.8,-1.8,2.6
1962,AFL,Buffalo Bills,Buffalo,7,6,1,3rd of 4,,309,272,37,Saban,Gilchrist,Rabb,Gilchrist,Dubenion,6,5,3,3,2,4,5,8,2.6,-0.3,2.3,-1.6,3.9
1961,AFL,Buffalo Bills,Buffalo,6,8,0,4th of 4,,294,342,-48,Ramsey,Atkins,Reynolds,Baker,Bass,6,6,4,4,4,5,5,8,-3.4,0.4,-3,-3.5,0.5
1960,AFL,Buffalo Bills,Buffalo,5,8,1,3rd of 4,,296,303,-7,Ramsey,McCabe,Green,Carlton,Dubenion,7,8,3,1,3,4,4,8,-0.5,0.1,-0.4,-3.4,3
2018,NFL,Carolina Panthers,Charlotte,7,9,0,2nd of 4,,376,382,-6,Rivera,McCaffrey,Newton,McCaffrey,McCaffrey,14,10,19,15,15,16,12,32,-0.4,1.3,0.9,0.1,0.8
2017,NFL,Carolina Panthers*,Charlotte,11,5,0,2nd of 4,Lost WC,363,327,36,Rivera,Newton,Newton,Newton,Funchess,12,19,11,7,16,12,14,32,2.3,2.1,4.3,1.7,2.7
2016,NFL,Carolina Panthers,Charlotte,6,10,0,4th of 4,,369,402,-33,Rivera,Newton,Newton,Stewart,Olsen,15,19,26,21,21,25,25,32,-2.1,1.1,-1,-0.2,-0.8
2015,NFL,Carolina Panthers*,Charlotte,15,1,0,1st of 4,Lost SB,500,308,192,Rivera,Newton,Newton,Stewart,Olsen,1,11,6,6,1,1,5,32,12,-3.9,8.1,6,2.1
2014,NFL,Carolina Panthers*,Charlotte,7,8,1,1st of 4,Lost Div,339,374,-35,Rivera,Kuechly,Newton,Stewart,Benjamin,19,16,21,10,13,23,12,32,-2.2,-0.9,-3.1,-2.4,-0.7
2013,NFL,Carolina Panthers*,Charlotte,12,4,0,1st of 4,Lost Div,366,241,125,Rivera,Kuechly,Newton,Williams,Olsen,18,26,2,2,6,4,12,32,7.8,1.4,9.2,0.6,8.6
2012,NFL,Carolina Panthers,Charlotte,7,9,0,2nd of 4,,357,363,-6,Rivera,Newton,Newton,Newton,Smith,18,12,18,10,16,18,8,32,-0.4,1.2,0.8,-0.5,1.3
2011,NFL,Carolina Panthers,Charlotte,6,10,0,3rd of 4,,406,429,-23,Rivera,Newton,Newton,Williams,Smith,5,7,27,28,13,20,11,32,-1.4,0.1,-1.3,2.6,-3.9
2010,NFL,Carolina Panthers,Charlotte,2,14,0,4th of 4,,196,408,-212,Fox,Beason,Clausen,Stewart,Smith,32,32,26,18,25,32,31,32,-13.3,0.1,-13.2,-9.1,-4.1
2009,NFL,Carolina Panthers,Charlotte,8,8,0,3rd of 4,,315,308,7,Fox,Peppers,Delhomme,Stewart,Smith,21,19,9,8,8,17,15,32,0.4,3.5,3.9,-0.6,4.5
2008,NFL,Carolina Panthers*,Charlotte,12,4,0,1st of 4,Lost Div,414,329,85,Fox,Smith,Delhomme,Williams,Smith,7,10,12,18,7,8,16,32,5.3,0.3,5.6,2.8,2.9
2007,NFL,Carolina Panthers,Charlotte,7,9,0,2nd of 4,,267,347,-80,Fox,Beason,Testaverde,Foster,Smith,26,29,15,16,13,21,23,32,-5,-0.8,-5.8,-5.7,-0.1
2006,NFL,Carolina Panthers,Charlotte,8,8,0,2nd of 4,,270,305,-35,Fox,Peppers,Delhomme,Foster,Smith,27,24,8,7,23,20,14,32,-2.2,-0.5,-2.7,-4.2,1.5
2005,NFL,Carolina Panthers*,Charlotte,11,5,0,2nd of 4,Lost Conf,391,259,132,Fox,Smith,Delhomme,Foster,Smith,8,22,5,3,3,4,11,32,8.3,-3.2,5.1,3,2.1
2004,NFL,Carolina Panthers,Charlotte,7,9,0,3rd of 4,,355,339,16,Fox,Peppers,Delhomme,Goings,Muhammad,13,13,15,20,4,12,19,32,1,-1.7,-0.7,-0.8,0.1
2003,NFL,Carolina Panthers*,Charlotte,11,5,0,1st of 4,Lost SB,325,304,21,Fox,Jenkins,Delhomme,Davis,Smith,15,16,10,8,25,16,11,32,1.3,-2.2,-0.9,-1.5,0.6
2002,NFL,Carolina Panthers,Charlotte,7,9,0,4th of 4,,258,302,-44,Fox,Jenkins,Peete,Smith,Smith,30,31,5,2,23,23,22,32,-2.8,-0.5,-3.3,-6,2.8
2001,NFL,Carolina Panthers,Charlotte,1,15,0,5th of 5,,253,410,-157,Seifert,Rucker,Weinke,Huntley,Hayes,29,30,28,31,15,31,31,31,-9.8,0.9,-8.9,-4.6,-4.4
2000,NFL,Carolina Panthers,Charlotte,7,9,0,3rd of 5,,310,310,0,Seifert,Beuerlein,Beuerlein,Biakabutuka,Muhammad,21,20,12,27,11,18,26,31,0,-1.1,-1.1,-3.6,2.5
1999,NFL,Carolina Panthers,Charlotte,8,8,0,2nd of 5,,421,381,40,Seifert,Beuerlein,Beuerlein,Biakabutuka,Muhammad,4,6,26,26,19,12,14,31,2.5,-3.6,-1.1,3,-4
1998,NFL,Carolina Panthers,Charlotte,4,12,0,4th of 5,,336,413,-77,Capers,Ismail,Beuerlein,Lane,Ismail,12,20,27,30,17,23,28,30,-4.8,3.5,-1.3,1,-2.4
1997,NFL,Carolina Panthers,Charlotte,7,9,0,2nd of 5,,265,314,-49,Capers,Barrow,Collins,Lane,Walls,27,26,13,15,27,20,22,30,-3.1,-0.5,-3.6,-4.4,0.8
1996,NFL,Carolina Panthers*,Charlotte,12,4,0,1st of 5,Lost Conf,367,218,149,Capers,Greene,Collins,Johnson,Carrier,7,23,2,10,3,2,13,30,9.3,-2.3,7.1,1.4,5.6
1995,NFL,Carolina Panthers,Charlotte,7,9,0,4th of 5,,289,325,-36,Capers,Mills,Collins,Moore,Carrier,25,26,8,7,21,22,22,30,-2.3,-1.5,-3.8,-4.1,0.3
2018,NFL,Chicago Bears*,Chicago,12,4,0,1st of 4,Lost WC,421,283,138,Nagy,Mack,Trubisky,Howard,Robinson,9,21,1,3,3,4,5,32,8.6,-2.3,6.3,1.5,4.8
2017,NFL,Chicago Bears,Chicago,5,11,0,4th of 4,,264,320,-56,Fox,Hicks,Trubisky,Howard,Wright,29,30,9,10,15,20,26,32,-3.5,2.2,-1.3,-4.6,3.3
2016,NFL,Chicago Bears,Chicago,3,13,0,4th of 4,,279,399,-120,Fox,Howard,Barkley,Howard,Meredith,28,15,24,15,31,28,12,32,-7.5,0,-7.5,-5.2,-2.3
2015,NFL,Chicago Bears,Chicago,6,10,0,4th of 4,,335,397,-62,Fox,Cutler,Cutler,Forte,Jeffery,23,21,20,14,19,21,16,32,-3.9,2.6,-1.3,-0.1,-1.2
2014,NFL,Chicago Bears,Chicago,5,11,0,4th of 4,,319,442,-123,Trestman,Forte,Cutler,Forte,Jeffery,23,21,31,30,22,27,28,32,-7.7,1,-6.7,-2,-4.7
2013,NFL,Chicago Bears,Chicago,8,8,0,2nd of 4,,445,478,-33,Trestman,Forte,Cutler,Forte,Jeffery,2,8,30,30,11,21,19,32,-2.1,-2.1,-4.1,3,-7.1
2012,NFL,Chicago Bears,Chicago,10,6,0,3rd of 4,,375,277,98,Smith,Peppers,Cutler,Forte,Marshall,16,28,3,5,2,6,16,32,6.1,0.8,6.9,1,6
2011,NFL,Chicago Bears,Chicago,8,8,0,3rd of 4,,353,341,12,Smith,Peppers,Cutler,Forte,Knox,17,24,14,17,11,16,26,32,0.8,0.9,1.7,-1.5,3.1
2010,NFL,Chicago Bears*,Chicago,11,5,0,1st of 4,Lost Conf,334,286,48,Smith,Peppers,Cutler,Forte,Knox,21,30,4,9,11,10,22,32,3,1.1,4.1,-0.6,4.7
